X,Y
513987.44300008746,4495526.64788529
513642.44300008746,4495521.64788529
513417.44300008746,4495516.64788529
512637.44300008746,4495506.64788529
512952.44300008746,4495506.64788529
513207.44300008746,4495506.64788529
513287.44300008746,4495506.64788529
513532.44300008746,4495506.64788529
513042.44300008746,4495501.64788529
512787.44300008746,4495496.64788529
513562.44300008746,4495496.64788529
513777.44300008746,4495496.64788529
513322.44300008746,4495486.64788529
513077.44300008746,4495476.64788529
513927.44300008746,4495476.64788529
512682.44300008746,4495461.64788529
512827.44300008746,4495461.64788529
513157.44300008746,4495461.64788529
513802.44300008746,4495461.64788529
512777.44300008746,4495456.64788529
512907.44300008746,4495456.64788529
513667.44300008746,4495456.64788529
513442.44300008746,4495451.64788529
512637.44300008746,4495446.64788529
513967.44300008746,4495446.64788529
513272.44300008746,4495421.64788529
513622.44300008746,4495421.64788529
513397.44300008746,4495416.64788529
513547.44300008746,4495416.64788529
513182.44300008746,4495411.64788529
513022.44300008746,4495406.64788529
513512.44300008746,4495406.64788529
512932.44300008746,4495401.64788529
513302.44300008746,4495391.64788529
513752.44300008746,4495391.64788529
512687.44300008746,4495381.64788529
512767.44300008746,4495381.64788529
513057.44300008746,4495381.64788529
513902.44300008746,4495381.64788529
512807.44300008746,4495371.64788529
513137.44300008746,4495366.64788529
513782.44300008746,4495366.64788529
512637.44300008746,4495356.64788529
512887.44300008746,4495356.64788529
513647.44300008746,4495356.64788529
513422.44300008746,4495351.64788529
513937.44300008746,4495346.64788529
513382.44300008746,4495336.64788529
513532.44300008746,4495336.64788529
513252.44300008746,4495331.64788529
513162.44300008746,4495321.64788529
513602.44300008746,4495321.64788529
512752.44300008746,4495316.64788529
513042.44300008746,4495316.64788529
513492.44300008746,4495311.64788529
512792.44300008746,4495306.64788529
512912.44300008746,4495306.64788529
513002.44300008746,4495306.64788529
514012.44300008746,4495306.64788529
512682.44300008746,4495296.64788529
513727.44300008746,4495296.64788529
513277.44300008746,4495291.64788529
513977.44300008746,4495291.64788529
513872.44300008746,4495286.64788529
512872.44300008746,4495281.64788529
513762.44300008746,4495271.64788529
513112.44300008746,4495266.64788529
513627.44300008746,4495266.64788529
512637.44300008746,4495261.64788529
513512.44300008746,4495251.64788529
513587.44300008746,4495251.64788529
513912.44300008746,4495251.64788529
512687.44300008746,4495241.64788529
513022.44300008746,4495241.64788529
513397.44300008746,4495241.64788529
513362.44300008746,4495236.64788529
513227.44300008746,4495231.64788529
513712.44300008746,4495226.64788529
513137.44300008746,4495216.64788529
513852.44300008746,4495216.64788529
512772.44300008746,4495211.64788529
512977.44300008746,4495211.64788529
513747.44300008746,4495211.64788529
512892.44300008746,4495206.64788529
513467.44300008746,4495206.64788529
513987.44300008746,4495206.64788529
512732.44300008746,4495201.64788529
513257.44300008746,4495196.64788529
513947.44300008746,4495191.64788529
512847.44300008746,4495186.64788529
513092.44300008746,4495171.64788529
512637.44300008746,4495166.64788529
513342.44300008746,4495166.64788529
513377.44300008746,4495166.64788529
513607.44300008746,4495166.64788529
513887.44300008746,4495166.64788529
512722.44300008746,4495151.64788529
513002.44300008746,4495146.64788529
513487.44300008746,4495141.64788529
513562.44300008746,4495141.64788529
513207.44300008746,4495136.64788529
513692.44300008746,4495131.64788529
513727.44300008746,4495131.64788529
513242.44300008746,4495121.64788529
512957.44300008746,4495116.64788529
513117.44300008746,4495116.64788529
513822.44300008746,4495116.64788529
512752.44300008746,4495111.64788529
513927.44300008746,4495111.64788529
513962.44300008746,4495111.64788529
512867.44300008746,4495106.64788529
513447.44300008746,4495106.64788529
512637.44300008746,4495096.64788529
512827.44300008746,4495086.64788529
513072.44300008746,4495076.64788529
513357.44300008746,4495071.64788529
513472.44300008746,4495071.64788529
513587.44300008746,4495071.64788529
513857.44300008746,4495071.64788529
513322.44300008746,4495056.64788529
512982.44300008746,4495051.64788529
512697.44300008746,4495036.64788529
513187.44300008746,4495036.64788529
513542.44300008746,4495036.64788529
513667.44300008746,4495036.64788529
513702.44300008746,4495026.64788529
513222.44300008746,4495021.64788529
513797.44300008746,4495021.64788529
513092.44300008746,4495016.64788529
513897.44300008746,4495016.64788529
512732.44300008746,4495011.64788529
512847.44300008746,4495011.64788529
513427.44300008746,4495011.64788529
513937.44300008746,4495011.64788529
512632.44300008746,4495006.64788529
512932.44300008746,4495006.64788529
512807.44300008746,4494981.64788529
513567.44300008746,4494981.64788529
513337.44300008746,4494976.64788529
513047.44300008746,4494971.64788529
513832.44300008746,4494971.64788529
513452.44300008746,4494966.64788529
513302.44300008746,4494961.64788529
512962.44300008746,4494951.64788529
513202.44300008746,4494951.64788529
512717.44300008746,4494941.64788529
513167.44300008746,4494941.64788529
513522.44300008746,4494941.64788529
513647.44300008746,4494936.64788529
513682.44300008746,4494936.64788529
513767.44300008746,4494926.64788529
512672.44300008746,4494921.64788529
513072.44300008746,4494921.64788529
513872.44300008746,4494921.64788529
513407.44300008746,4494916.64788529
513912.44300008746,4494916.64788529
512632.44300008746,4494911.64788529
512827.44300008746,4494911.64788529
512912.44300008746,4494911.64788529
512787.44300008746,4494891.64788529
513027.44300008746,4494876.64788529
513542.44300008746,4494876.64788529
513672.44300008746,4494876.64788529
513802.44300008746,4494876.64788529
513312.44300008746,4494871.64788529
513277.44300008746,4494866.64788529
513432.44300008746,4494866.64788529
513632.44300008746,4494866.64788529
512937.44300008746,4494856.64788529
513182.44300008746,4494856.64788529
512692.44300008746,4494841.64788529
513142.44300008746,4494841.64788529
513502.44300008746,4494841.64788529
512652.44300008746,4494836.64788529
512897.44300008746,4494836.64788529
513742.44300008746,4494831.64788529
512807.44300008746,4494821.64788529
513052.44300008746,4494821.64788529
513887.44300008746,4494821.64788529
513387.44300008746,4494816.64788529
513842.44300008746,4494816.64788529
512632.44300008746,4494811.64788529
513612.44300008746,4494791.64788529
512762.44300008746,4494786.64788529
513002.44300008746,4494781.64788529
513777.44300008746,4494781.64788529
513292.44300008746,4494776.64788529
513522.44300008746,4494776.64788529
513647.44300008746,4494776.64788529
513127.44300008746,4494771.64788529
513262.44300008746,4494771.64788529
513407.44300008746,4494771.64788529
512642.44300008746,4494766.64788529
513377.44300008746,4494766.64788529
512877.44300008746,4494756.64788529
512917.44300008746,4494756.64788529
513162.44300008746,4494756.64788529
512677.44300008746,4494746.64788529
