date,plot,species,weight,n_seeds,seed_mass_g,seed_mass_mg
2023-06-27,59,brte,0.0666,28,0.002378571429,2.378571429
2023-06-28,91,deso,0.0061,53,0.0001150943396,0.1150943396
2023-06-29,149,brte,0.072,30,0.0024,2.4
2023-06-26,29,deso,0.0053,53,0.0001,0.1
2023-06-28,89,deso,0.0054,42,0.0001285714286,0.1285714286
2023-06-27,83,brte,0.0556,22,0.002527272727,2.527272727
2023-06-27,83,deso,0.0046,40,0.000115,0.115
2023-06-27,48,brte,0.0694,27,0.00257037037,2.57037037
2023-06-27,69,brte,0.0446,17,0.002623529412,2.623529412
2023-06-27,53,deso,0.0054,41,0.0001317073171,0.1317073171
2023-06-26,31,brte,0.0781,29,0.002693103448,2.693103448
2023-06-26,40,navi,0.1297,42,0.003088095238,3.088095238
2023-06-23,201,brte,0.0722,25,0.002888,2.888
2023-06-27,83,navi,0.1383,53,0.002609433962,2.609433962
2023-06-27,53,brte,0.0585,23,0.002543478261,2.543478261
2023-06-23,196,brte,0.047,17,0.002764705882,2.764705882
2023-06-27,57,deso,0.0067,49,0.0001367346939,0.1367346939
2023-06-23,186,navi,0.0946,49,0.001930612245,1.930612245
2023-06-27,69,navi,0.1102,46,0.002395652174,2.395652174
2023-06-27,59,deso,0.0063,45,0.00014,0.14
2023-06-23,185,navi,0.0591,37,0.001597297297,1.597297297
2023-06-27,55,deso,0.0051,41,0.0001243902439,0.1243902439
2023-06-23,185,deso,0.0058,47,0.0001234042553,0.1234042553
2023-06-23,201,deso,0.0062,48,0.0001291666667,0.1291666667
2023-06-23,200,brte,0.0515,19,0.002710526316,2.710526316
2023-06-23,183,navi,0.0696,34,0.002047058824,2.047058824
2023-06-27,55,brte,0.0535,21,0.002547619048,2.547619048
2023-06-26,33,deso,0.0057,42,0.0001357142857,0.1357142857
2023-06-26,40,brte,0.074,28,0.002642857143,2.642857143
2023-06-27,-,deso,0.008,45,0.0001777777778,0.1777777778
2023-06-29,-,navi,0.0441,19,0.002321052632,2.321052632
2023-06-26,31,deso,0.0059,43,0.0001372093023,0.1372093023
2023-06-28,106,brte,0.0814,31,0.002625806452,2.625806452
2023-06-26,33,brte,0.0693,27,0.002566666667,2.566666667
2023-06-29,-,brte,0.0445,19,0.002342105263,2.342105263
2023-06-29,149,navi,0.1234,46,0.002682608696,2.682608696
2023-06-27,-,brte,0.0418,22,0.0019,1.9
2023-06-27,-,navi,0.0497,19,0.002615789474,2.615789474
2023-06-26,42,brte,0.084,32,0.002625,2.625
2023-06-29,151,brte,0.0876,36,0.002433333333,2.433333333
2023-06-29,151,navi,0.0913,37,0.002467567568,2.467567568
2023-06-28,104,brte,0.0906,37,0.002448648649,2.448648649
2023-06-27,48,navi,0.1125,38,0.002960526316,2.960526316
2023-06-28,104,navi,0.0803,30,0.002676666667,2.676666667
2023-06-28,42,navi,0.0676,23,0.002939130435,2.939130435
2023-06-26,42,navi,0.021,17,0.001235294118,1.235294118
2023-06-28,108,deso,0.0178,135,0.0001318518519,0.1318518519
2023-06-23,199,deso,0.0048,30,0.00016,0.16
2023-06-29,-,deso,0.0109,83,0.0001313253012,0.1313253012
2023-06-28,106,deso,0.0154,119,0.0001294117647,0.1294117647
2023-06-29,149,deso,0.012,91,0.0001318681319,0.1318681319
2023-06-28,87,deso,0.0122,94,0.000129787234,0.129787234
2023-06-26,40,deso,0.0071,59,0.0001203389831,0.1203389831
