plot,date_yyyymmdd,observed_by,subplot,species_code,cover_pct,height_cm,entered_by
d_011_herb_01,20220628,Adam,1,_litter,96,,Adam
d_011_herb_01,20220628,Adam,1,_bare,4,,Adam
d_011_herb_01,20220628,Adam,1,coar,0.5,1,Adam
d_011_herb_01,20220628,Adam,1,satr,0.5,12,Adam
d_011_herb_01,20220628,Adam,1,bocu,60,27,Adam
d_011_herb_01,20220628,Adam,2,_litter,95,,Adam
d_011_herb_01,20220628,Adam,2,_bare,5,,Adam
d_011_herb_01,20220628,Adam,2,satr,1,18,Adam
d_011_herb_01,20220628,Adam,2,sphe,2,41,Adam
d_011_herb_01,20220628,Adam,2,upg4,4,25,Adam
d_011_herb_01,20220628,Adam,2,brte,7,14,Adam
d_011_herb_01,20220628,Adam,3,_litter,13,,Adam
d_011_herb_01,20220628,Adam,3,_bare,87,,Adam
d_011_herb_01,20220628,Adam,3,coar,8,6,Adam
d_011_herb_01,20220628,Adam,3,satr,3,8,Adam
d_011_herb_01,20220628,Adam,3,bocu,3,27,Adam
d_011_herb_01,20220628,Adam,3,brte,1,30,Adam
d_011_herb_01,20220628,Adam,4,_litter,90,,Adam
d_011_herb_01,20220628,Adam,4,_bare,10,,Adam
d_011_herb_01,20220628,Adam,4,coar,6,9,Adam
d_011_herb_01,20220628,Adam,4,satr,2,10,Adam
d_011_herb_01,20220628,Adam,999,kosc,0.5,,Adam
d_011_herb_01,20220628,Adam,999,navi,0.5,,Adam
d_011_herb_01,20220628,Adam,999,sial,0.5,,Adam
d_012_herb_01,20220628,Adam,1,_litter,80,,Adam
d_012_herb_01,20220628,Adam,1,_bare,20,,Adam
d_012_herb_01,20220628,Adam,1,brte,4,19,Adam
d_012_herb_01,20220628,Adam,1,satr,2,8,Adam
d_012_herb_01,20220628,Adam,1,coar,13,7,Adam
d_012_herb_01,20220628,Adam,1,kosc,7,7,Adam
d_012_herb_01,20220628,Adam,2,_litter,100,,Adam
d_012_herb_01,20220628,Adam,2,_bare,0,,Adam
d_012_herb_01,20220628,Adam,2,brte,4,19,Adam
d_012_herb_01,20220628,Adam,2,satr,0.5,8,Adam
d_012_herb_01,20220628,Adam,2,coar,15,14,Adam
d_012_herb_01,20220628,Adam,2,kosc,9,5,Adam
d_012_herb_01,20220628,Adam,3,_litter,100,,Adam
d_012_herb_01,20220628,Adam,3,_bare,0,,Adam
d_012_herb_01,20220628,Adam,3,brte,6,20,Adam
d_012_herb_01,20220628,Adam,3,satr,0.5,3,Adam
d_012_herb_01,20220628,Adam,3,coar,4,6,Adam
d_012_herb_01,20220628,Adam,3,kosc,4,3,Adam
d_012_herb_01,20220628,Adam,4,_litter,100,,Adam
d_012_herb_01,20220628,Adam,4,_bare,0,,Adam
d_012_herb_01,20220628,Adam,4,brte,13,29,Adam
d_012_herb_01,20220628,Adam,4,coar,3,21,Adam
d_012_herb_01,20220628,Adam,4,kosc,2,7,Adam
d_012_herb_01,20220628,Adam,4,sphe,0.5,74,Adam
d_012_herb_01,20220628,Adam,999,mesa,0.5,,Adam
d_012_herb_01,20220628,Adam,999,upf_12,0.5,,Adam
d_012_herb_01,20220628,Adam,999,sial,0.5,,Adam
d_013_herb_01,20220628,Adam,1,_litter,60,,Adam
d_013_herb_01,20220628,Adam,1,_bare,40,,Adam
d_013_herb_01,20220628,Adam,1,brte,10,34,Adam
d_013_herb_01,20220628,Adam,1,satr,5,16,Adam
d_013_herb_01,20220628,Adam,2,_litter,100,,Adam
d_013_herb_01,20220628,Adam,2,_bare,0,,Adam
d_013_herb_01,20220628,Adam,2,brte,28,26,Adam
d_013_herb_01,20220628,Adam,2,elre,3,15,Adam
d_013_herb_01,20220628,Adam,3,_litter,100,,Adam
d_013_herb_01,20220628,Adam,3,_bare,0,,Adam
d_013_herb_01,20220628,Adam,3,brte,7,23,Adam
d_013_herb_01,20220628,Adam,3,satr,1,13,Adam
d_013_herb_01,20220628,Adam,3,elre,4,60,Adam
d_013_herb_01,20220628,Adam,3,kosc,2,19,Adam
d_013_herb_01,20220628,Adam,4,_litter,100,,Adam
d_013_herb_01,20220628,Adam,4,_bare,0,,Adam
d_013_herb_01,20220628,Adam,4,brte,14,20,Adam
d_013_herb_01,20220628,Adam,4,elre,13,27,Adam
d_013_herb_01,20220628,Adam,4,kosc,0.5,6,Adam
d_013_herb_01,20220628,Adam,999,sial,0.5,,Adam
d_013_herb_01,20220628,Adam,999,coar,0.5,,Adam
d_013_herb_01,20220628,Adam,999,navi,0.5,,Adam
d_199_shru_12,20220628,Adam,1,_litter,100,,Adam
d_199_shru_12,20220628,Adam,1,_bare,0,,Adam
d_199_shru_12,20220628,Adam,1,brte,7,25,Adam
d_199_shru_12,20220628,Adam,1,kosc,1,20,Adam
d_199_shru_12,20220628,Adam,1,satr,0.5,20,Adam
d_199_shru_12,20220628,Adam,1,elre,10,44,Adam
d_199_shru_12,20220628,Adam,1,atca,40,135,Adam
d_199_shru_12,20220628,Adam,2,_litter,100,,Adam
d_199_shru_12,20220628,Adam,2,_bare,0,,Adam
d_199_shru_12,20220628,Adam,2,brte,10,20,Adam
d_199_shru_12,20220628,Adam,2,kosc,3,29,Adam
d_199_shru_12,20220628,Adam,2,satr,1,19,Adam
d_199_shru_12,20220628,Adam,2,atca,70,152,Adam
d_199_shru_12,20220628,Adam,3,_litter,95,,Adam
d_199_shru_12,20220628,Adam,3,_bare,5,,Adam
d_199_shru_12,20220628,Adam,3,brte,1,12,Adam
d_199_shru_12,20220628,Adam,3,kosc,1,9,Adam
d_199_shru_12,20220628,Adam,3,satr,1,9,Adam
d_199_shru_12,20220628,Adam,3,elre,12,32,Adam
d_199_shru_12,20220628,Adam,3,atca,0.5,95,Adam
d_199_shru_12,20220628,Adam,4,_litter,98,,Adam
d_199_shru_12,20220628,Adam,4,_bare,2,,Adam
d_199_shru_12,20220628,Adam,4,brte,0.5,15,Adam
d_199_shru_12,20220628,Adam,4,kosc,0.5,6,Adam
d_199_shru_12,20220628,Adam,4,satr,1,10,Adam
d_199_shru_12,20220628,Adam,4,elre,2,24,Adam
d_199_shru_12,20220628,Adam,4,mesa,0.5,31,Adam
d_199_shru_12,20220628,Adam,999,pola,0.5,,Adam
d_199_shru_12,20220628,Adam,999,sece,0.5,,Adam
d_199_shru_12,20220628,Adam,999,sial,0.5,,Adam
d_200_shru_12,20220628,Adam,1,_litter,98,,Adam
d_200_shru_12,20220628,Adam,1,_bare,2,,Adam
d_200_shru_12,20220628,Adam,1,brte,8,20,Adam
d_200_shru_12,20220628,Adam,1,kosc,2,10,Adam
d_200_shru_12,20220628,Adam,1,satr,10,9,Adam
d_200_shru_12,20220628,Adam,2,_litter,100,,Adam
d_200_shru_12,20220628,Adam,2,_bare,0,,Adam
d_200_shru_12,20220628,Adam,2,brte,11,32,Adam
d_200_shru_12,20220628,Adam,2,kosc,14,11,Adam
d_200_shru_12,20220628,Adam,2,satr,3,4,Adam
d_200_shru_12,20220628,Adam,2,elre,3,27,Adam
d_200_shru_12,20220628,Adam,2,atca,45,121,Adam
d_200_shru_12,20220628,Adam,3,_litter,100,,Adam
d_200_shru_12,20220628,Adam,3,_bare,0,,Adam
d_200_shru_12,20220628,Adam,3,brte,8,21,Adam
d_200_shru_12,20220628,Adam,3,kosc,7,17,Adam
d_200_shru_12,20220628,Adam,3,satr,2,19,Adam
d_200_shru_12,20220628,Adam,3,elre,1,25,Adam
d_200_shru_12,20220628,Adam,3,atca,30,130,Adam
d_200_shru_12,20220628,Adam,4,_litter,96,,Adam
d_200_shru_12,20220628,Adam,4,_bare,4,,Adam
d_200_shru_12,20220628,Adam,4,brte,8,34,Adam
d_200_shru_12,20220628,Adam,4,kosc,3,22,Adam
d_200_shru_12,20220628,Adam,4,satr,3,15,Adam
d_200_shru_12,20220628,Adam,4,elre,5,17,Adam
d_200_shru_12,20220628,Adam,999,deso,0.5,,Adam
d_200_shru_12,20220628,Adam,999,sial,0.5,,Adam
d_200_shru_12,20220628,Adam,999,sece,0.5,,Adam
d_201_shru_12,20220628,Adam,1,_litter,85,,Adam
d_201_shru_12,20220628,Adam,1,_bare,15,,Adam
d_201_shru_12,20220628,Adam,1,kosc,3,10,Adam
d_201_shru_12,20220628,Adam,1,satr,16,7,Adam
d_201_shru_12,20220628,Adam,1,elre,5,9,Adam
