@T,fert,,,,,,,,,,
name,fert.csv,,,,,,,,,,
descr,default fertilizer input parameters,,,,,,,,,,
,,,,,,,,,,,
@H,FID,fertnm,fminn,fminp,forgn,forgp,fnh3n,bactpdb,bactldb,bactddb,desc
,1,Elem-N,1,0,0,0,0,0,0,0,Elemental Nitrogen
,2,Elem-P,0,1,0,0,0,0,0,0,Elemental Phosphorous
,3,ANH-NH3,0.82,0,0,0,1,0,0,0,Anhydrous Ammonia
,4,UREA,0.46,0,0,0,1,0,0,0,Urea
,5,46-00-00,0.46,0,0,0,0,0,0,0,46-00-00
,6,33-00-00,0.33,0,0,0,0,0,0,0,33-00-00
,7,31-13-00,0.31,0.06,0,0,0,0,0,0,31-13-00
,8,30-80-00,0.3,0.35,0,0,0,0,0,0,30-80-00
,9,30-15-00,0.3,0.07,0,0,0,0,0,0,30-15-00
,10,28-10-10,0.28,0.04,0,0,0,0,0,0,28-10-10
,11,28-03-00,0.28,0.01,0,0,0,0,0,0,28-03-00
,12,26-13-00,0.26,0.06,0,0,0,0,0,0,26-13-00
,13,25-05-00,0.25,0.02,0,0,0,0,0,0,25-05-00
,14,25-03-00,0.25,0.01,0,0,0,0,0,0,25-03-00
,15,24-06-00,0.24,0.03,0,0,0,0,0,0,24-06-00
,16,22-14-00,0.22,0.06,0,0,0,0,0,0,22-14-00
,17,20-20-00,0.2,0.09,0,0,0,0,0,0,20-20-00
,18,18-46-00,0.18,0.2,0,0,0,0,0,0,18-46-00
,19,18-04-00,0.18,0.02,0,0,0,0,0,0,18-04-00
,20,16-20-20,0.16,0.09,0,0,0,0,0,0,16-20-20
,21,15-15-15,0.15,0.07,0,0,0,0,0,0,15-15-15
,22,15-15-00,0.15,0.07,0,0,0,0,0,0,15-15-00
,23,13-13-13,0.13,0.06,0,0,0,0,0,0,13-13-13
,24,12/20/2000,0.12,0.09,0,0,0,0,0,0,12/20/2000
,25,11-52-00,0.11,0.23,0,0,0,0,0,0,11-52-00
,26,11/15/2000,0.11,0.07,0,0,0,0,0,0,11/15/2000
,27,10-34-00,0.1,0.15,0,0,0,0,0,0,10-34-00
,28,10/28/2000,0.1,0.12,0,0,0,0,0,0,10/28/2000
,29,10/20/2020,0.1,0.09,0,0,0,0,0,0,10/20/2020
,30,10/10/2010,0.1,0.04,0,0,0,0,0,0,10/10/2010
,31,8/15/2000,0.08,0.07,0,0,0,0,0,0,8/15/2000
,32,8/8/2000,0.08,0.04,0,0,0,0,0,0,8/8/2000
,33,7/7/2000,0.07,0.03,0,0,0,0,0,0,7/7/2000
,34,07-00-00,0.07,0,0,0,0,0,0,0,07-00-00
,35,6/24/2024,0.06,0.11,0,0,0,0,0,0,6/24/2024
,36,5/10/2015,0.05,0.04,0,0,0,0,0,0,5/10/2015
,37,5/10/2010,0.05,0.04,0,0,0,0,0,0,5/10/2010
,38,5/10/2005,0.05,0.04,0,0,0,0,0,0,5/10/2005
,39,4/8/2000,0.04,0.04,0,0,0,0,0,0,4/8/2000
,40,3/6/2000,0.03,0.03,0,0,0,0,0,0,3/6/2000
,41,2/9/2000,0.02,0.04,0,0,0,0,0,0,2/9/2000
,42,00-15-00,0,0.07,0,0,0,0,0,0,00-15-00
,43,00-06-00,0,0.03,0,0,0,0,0,0,00-06-00
,44,DAIRY-FR,0.01,0.01,0.03,0,0.99,0,0,0,Dairy-Fresh Manure
,45,BEEF-FR,0.01,0,0.03,0.01,0.99,0,0,0,Beef-Fresh Manure
,46,VEAL-FR,0.02,0.01,0.03,0.01,0.99,0,0,0,Veal-Fresh Manure
,47,SWINE-FR,0.03,0.01,0.02,0.01,0.99,0,0,0,Swine-Fresh Manure
,48,SHEEP-FR,0.01,0,0.02,0.01,0.99,0,0,0,Sheep-Fresh Manure
,49,GOAT-FR,0.01,0,0.02,0.01,0.99,0,0,0,Goat-Fresh Manure
,50,HORSE-FR,0.01,0,0.01,0,0.99,0,0,0,Horse-Fresh Manure
,51,LAYER-FR,0.01,0.01,0.04,0.01,0.99,0,0,0,Layer-Fresh Manure
,52,BROIL-FR,0.01,0,0.04,0.01,0.99,0,0,0,Broiler-Fresh Manure
,53,TURK-FR,0.01,0,0.05,0.02,0.99,0,0,0,Turkey-Fresh Manure
,54,DUCK-FR,0.02,0.01,0.03,0.01,0.99,0,0,0,Duck-Fresh Manure
,55,SLUDGE,0,0,0.9,0,0.1,0,0,0,Sewage-Sludge-Drake-Farm
