@T,A4,,,,
descr,observed soil water content at probe A4 depths 30cm 60cm 90cm 120cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,22.10.2002,,,,
date_end,31.01.2020,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1571,,,
x,,513622,,,
y,,4495211,,,
,22.10.2002,0.112747219,0.089999875,0.096710083,0.109370006
,23.10.2002,0.108810155,0.089059543,0.09655405,0.109132058
,24.10.2002,0.106388257,0.087532428,0.096033147,0.108785037
,25.10.2002,0.105723875,0.086298913,0.095331325,0.108251322
,26.10.2002,0.106457535,0.085932406,0.094650844,0.107632996
,27.10.2002,0.107568133,0.085982648,0.094200006,0.107057612
,28.10.2002,0.10729073,0.086131602,0.093951305,0.106626767
,29.10.2002,0.107154799,0.085964677,0.093754121,0.106300761
,30.10.2002,0.105081435,0.08531185,0.093551718,0.105987558
,31.10.2002,0.103341648,0.084110037,0.093156799,0.105599878
,01.11.2002,0.1024675,0.082975988,0.0925835,0.105071495
,02.11.2002,0.102179168,0.082248938,0.091970718,0.104462059
,03.11.2002,0.101913331,0.081713623,0.091448447,0.103864749
,04.11.2002,0.101543682,0.081225482,0.09098888,0.103297494
,05.11.2002,0.101158382,0.080725262,0.090550354,0.10273209
,06.11.2002,0.100866794,0.080259583,0.090166575,0.102212289
,07.11.2002,0.100773968,0.079915651,0.089781976,0.101696033
,08.11.2002,0.101071412,0.079637719,0.08943916,0.101224813
,09.11.2002,0.102565039,0.079872753,0.08917325,0.100780539
,10.11.2002,0.102594515,0.08012702,0.089093571,0.100449557
,11.11.2002,0.102313392,0.080039338,0.088998016,0.100203717
,12.11.2002,0.101487381,0.079692635,0.08883714,0.099975907
,13.11.2002,0.101242586,0.079198044,0.088614653,0.099687675
,14.11.2002,0.102576273,0.079225364,0.088381936,0.099362773
,15.11.2002,0.103001527,0.079534933,0.088272735,0.099098995
,16.11.2002,0.102280691,0.07945451,0.088223455,0.09890388
,17.11.2002,0.102041943,0.079080227,0.088072206,0.098720689
,18.11.2002,0.103320689,0.079167292,0.087926362,0.09850657
,19.11.2002,0.103681522,0.079420243,0.087875434,0.098312145
,20.11.2002,0.104822135,0.079634288,0.087943948,0.098152903
,21.11.2002,0.105827045,0.079913922,0.088072201,0.09803259
,22.11.2002,0.106565143,0.080254383,0.088142538,0.09798798
,23.11.2002,0.107468055,0.080692433,0.088242823,0.097999614
