@T,D4,,,,
descr,observed soil water content at probe D4 depths 30cm 60cm 90cm 150cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,04.10.2002,,,,
date_end,31.01.2020,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1572,,,
x,,513672,,,
y,,4495127,,,
,04.10.2002,0.132026211,0.244366723,0.184521978,0.216431127
,05.10.2002,0.117304011,0.244157209,0.183143361,0.215903089
,06.10.2002,0.104795716,0.244350359,0.182415588,0.215307079
,07.10.2002,0.098707683,0.243650233,0.181834727,0.214683447
,08.10.2002,0.109110401,0.244779301,0.181417548,0.21416936
,09.10.2002,0.12522772,0.246874709,0.181473468,0.213690201
,10.10.2002,0.12692047,0.247341182,0.181654011,0.213254371
,11.10.2002,0.128659473,0.247638618,0.181712519,0.212904386
,12.10.2002,0.129481168,0.248131628,0.181804128,0.212614408
,13.10.2002,0.128299314,0.247022091,0.181707453,0.212381468
,14.10.2002,0.128359565,0.24537983,0.181133028,0.212143008
,15.10.2002,0.128068763,0.244163026,0.180460834,0.211890508
,16.10.2002,0.12801777,0.242873726,0.179721885,0.21157304
,17.10.2002,0.127334738,0.241554165,0.178997343,0.211221873
,18.10.2002,-9999,-9999,-9999,-9999
,19.10.2002,-9999,-9999,-9999,-9999
,20.10.2002,-9999,-9999,-9999,-9999
,21.10.2002,-9999,-9999,-9999,-9999
,22.10.2002,0.128024588,0.238870804,0.176348819,0.20913908
,23.10.2002,0.12577067,0.236981436,0.175769638,0.208762217
,24.10.2002,0.123949298,0.234087553,0.174684257,0.20842788
,25.10.2002,0.123630907,0.231610581,0.173389878,0.207970465
,26.10.2002,0.1245307,0.230790246,0.172278494,0.207401618
,27.10.2002,0.125799681,0.230823986,0.171569472,0.20680854
,28.10.2002,0.125484523,0.231069519,0.171259833,0.206230418
,29.10.2002,0.125263273,0.230701268,0.170911293,0.205711792
,30.10.2002,0.122971596,0.229214128,0.17043096,0.205207812
,31.10.2002,0.121245365,0.226680668,0.169487358,0.204729594
,01.11.2002,0.120462296,0.224311258,0.168281767,0.204227082
,02.11.2002,0.120152857,0.22275193,0.16711024,0.203708665
,03.11.2002,0.119748793,0.221528412,0.166122021,0.20306109
,04.11.2002,0.119310668,0.220377569,0.165204622,0.202420257
,05.11.2002,0.11889666,0.219242201,0.164352554,0.201805401
,06.11.2002,0.118589626,0.218240855,0.163560454,0.201153186
,07.11.2002,0.118715092,0.217677433,0.162863533,0.2005077
,08.11.2002,0.119173815,0.217310221,0.162337276,0.19986893
,09.11.2002,0.120526609,0.217873078,0.161964011,0.199299716
,10.11.2002,0.120281415,0.218291199,0.161902247,0.198739657
,11.11.2002,0.119846045,0.217997536,0.161745546,0.19824596
,12.11.2002,0.118954959,0.217218624,0.161451378,0.197848244
,13.11.2002,0.118759826,0.216210954,0.160968109,0.197459197
,14.11.2002,0.120024799,0.216272878,0.160549451,0.197035269
,15.11.2002,0.12027556,0.216842889,0.160433664,0.196620044
,16.11.2002,0.119464188,0.216621338,0.160367537,0.196208015
,17.11.2002,0.119216108,0.215857,0.160067795,0.195869588
,18.11.2002,0.120407864,0.216039822,0.15980369,0.195545005
,19.11.2002,0.120678932,0.21651494,0.159780125,0.195215367
,20.11.2002,0.122194007,0.218523849,0.160436894,0.194942699
,21.11.2002,0.123494366,0.220849298,0.161304387,0.194718813
,22.11.2002,0.124088445,0.22152529,0.161503529,0.194486988
,23.11.2002,0.124860492,0.222478599,0.161788287,0.194287641
,24.11.2002,0.123467483,0.222664707,0.162089955,0.194150315
,25.11.2002,0.12153285,0.221112743,0.161937908,0.194061498
,26.11.2002,0.120038714,0.21928116,0.161406374,0.19394849
,27.11.2002,0.118522393,0.217224918,0.160634659,0.193822073
,28.11.2002,0.117700263,0.215388867,0.159723695,0.193553276
,29.11.2002,0.117760055,0.214151282,0.158804069,0.193196107
,30.11.2002,0.118344817,0.214148282,0.158163771,0.192812524
,01.12.2002,0.118104244,0.213796413,0.157798622,0.192381206
,02.12.2002,0.119198732,0.214010456,0.157504048,0.191963815
,03.12.2002,0.1194759,0.214814939,0.15747367,0.191605713
,04.12.2002,0.118327443,0.214315655,0.157419952,0.191298718
,05.12.2002,0.117965463,0.213529801,0.157153827,0.191000016
,06.12.2002,0.117721542,0.213166802,0.156869315,0.19074155
,07.12.2002,0.11700418,0.212401071,0.156529246,0.190448666
,08.12.2002,0.116545281,0.211555356,0.156108253,0.190172033
,09.12.2002,0.11606663,0.210854076,0.15565545,0.18983984
,10.12.2002,0.115619437,0.210113583,0.155215019,0.189526573
,11.12.2002,0.115626972,0.20950487,0.154747572,0.189232169
,12.12.2002,0.115925586,0.209400612,0.15438482,0.188824179
,13.12.2002,0.115832358,0.209302208,0.154160969,0.188519835
,14.12.2002,0.115883728,0.209134378,0.153964962,0.188229018
,15.12.2002,0.11616371,0.209198028,0.153819788,0.187930529
,16.12.2002,0.11650135,0.209420884,0.153718438,0.18764552
,17.12.2002,0.116639043,0.209507745,0.153700019,0.187395028
,18.12.2002,0.11711338,0.209936624,0.153709228,0.187168442
,19.12.2002,0.116404147,0.209855456,0.15374838,0.18693412
,20.12.2002,0.115281828,0.209096919,0.153626358,0.186776253
,21.12.2002,0.114599564,0.208005215,0.153256026,0.186600062
,22.12.2002,0.114010785,0.20719876,0.15281965,0.186366171
,23.12.2002,0.113626542,0.206402743,0.152354235,0.186124578
,24.12.2002,0.112626941,0.205620163,0.151919389,0.185838578
,25.12.2002,0.111602344,0.204510848,0.151421402,0.185552848
,26.12.2002,0.110709347,0.203410755,0.150842387,0.185235965
,27.12.2002,0.11036325,0.202322695,0.150198832,0.184929865
,28.12.2002,0.111338211,0.201735955,0.14958176,0.184558772
,29.12.2002,0.112105313,0.201806748,0.149167458,0.184164629
,30.12.2002,0.11286818,0.20207024,0.148961691,0.18375016
,31.12.2002,0.113166195,0.202467248,0.14891875,0.183419485
,01.01.2003,0.113568263,0.202736925,0.148902932,0.183125586
,02.01.2003,0.113810927,0.203171668,0.14895943,0.182868307
