@T,E1,,,,,
descr,observed soil water content at probe E1 depths 30cm 60cm 90cm 120cm 150cm,,,,,
unit,dimensionless,,,,,
,,,,,,
missing_val,-9999,,,,,
date_start,14.12.2002,,,,,
date_end,31.01.2020,,,,,
date_format,dd.MM.yyyy,,,,,
,,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3],swc[4]
name,,Drake,,,,
ID,,1,,,,
elevation,,1575,,,,
x,,512754,,,,
y,,4495389,,,,
,14.12.2002,0.243970833,0.211595833,0.184270833,0.1764875,0.298775
,15.12.2002,0.244733333,0.211820833,0.1841125,0.176229167,0.298404167
,16.12.2002,0.2451875,0.2120875,0.184,0.175979167,0.298045833
,17.12.2002,0.2457,0.2123,0.184029167,0.175858333,0.2977125
,18.12.2002,0.246241667,0.2128125,0.1841125,0.175720833,0.297445833
,19.12.2002,0.244229167,0.212466667,0.1841875,0.175675,0.297195833
,20.12.2002,0.241875,0.211466667,0.1839375,0.1755625,0.2970375
,21.12.2002,0.241058333,0.2104375,0.183470833,0.175316667,0.296791667
,22.12.2002,0.240083333,0.209758333,0.182958333,0.175008333,0.296516667
,23.12.2002,0.239629167,0.2091125,0.182495833,0.174666667,0.296208333
,24.12.2002,0.237595833,0.2084625,0.182070833,0.174308333,0.2958375
,25.12.2002,0.235208333,0.2073875,0.181566667,0.173958333,0.295458333
,26.12.2002,0.232825,0.206079167,0.180941667,0.173583333,0.295116667
,27.12.2002,0.232208333,0.204920833,0.180208333,0.173104167,0.294679167
,28.12.2002,0.23395,0.204558333,0.17955,0.1726,0.294216667
,29.12.2002,0.235225,0.204808333,0.179158333,0.172104167,0.2937125
,30.12.2002,0.236954167,0.205145833,0.178975,0.1717375,0.2932375
,31.12.2002,0.237391667,0.205541667,0.178916667,0.171475,0.292791667
,01.01.2003,0.2386125,0.205866667,0.178925,0.1713,0.292445833
,02.01.2003,0.238783333,0.20635,0.1790375,0.1711375,0.292141667
,03.01.2003,0.239645833,0.206425,0.1791,0.1710625,0.291858333
,04.01.2003,0.2427625,0.207429167,0.179179167,0.171,0.291608333
,05.01.2003,0.243704167,0.208441667,0.179545833,0.171,0.291429167
,06.01.2003,0.2448125,0.2093625,0.179945833,0.171070833,0.291241667
,07.01.2003,0.244358333,0.209908333,0.180370833,0.171229167,0.2911875
,08.01.2003,0.245275,0.21015,0.18065,0.171375,0.291154167
,09.01.2003,0.246129167,0.210979167,0.180975,0.171533333,0.291120833
,10.01.2003,0.242758333,0.2107,0.1812625,0.171683333,0.291166667
,11.01.2003,0.238558333,0.209075,0.181095833,0.171804167,0.2912
,12.01.2003,0.237133333,0.2076125,0.180508333,0.171679167,0.291183333
,13.01.2003,0.237758333,0.206833333,0.1799,0.171404167,0.291058333
,14.01.2003,0.239525,0.2067375,0.179458333,0.171079167,0.290829167
,15.01.2003,0.240295833,0.2070875,0.179241667,0.170804167,0.290575
,16.01.2003,0.2396125,0.207108333,0.1792,0.1706,0.290358333
,17.01.2003,0.239666667,0.206991667,0.179120833,0.1704875,0.290129167
,18.01.2003,0.238729167,0.206891667,0.179070833,0.170345833,0.289958333
,19.01.2003,0.238920833,0.206608333,0.1789,0.170241667,0.289791667
,20.01.2003,0.240458333,0.206729167,0.178720833,0.170079167,0.289575
,21.01.2003,0.242079167,0.207429167,0.178791667,0.169979167,0.2894125
,22.01.2003,0.241125,0.207820833,0.178991667,0.169945833,0.289233333
,23.01.2003,0.238504167,0.2072125,0.179045833,0.169954167,0.289154167
,24.01.2003,0.239095833,0.206625,0.178779167,0.169895833,0.289025
,25.01.2003,0.240358333,0.20665,0.17855,0.169729167,0.288891667
,26.01.2003,0.241283333,0.207104167,0.178529167,0.169625,0.2887125
,27.01.2003,0.2436375,0.207645833,0.17865,0.1695875,0.2885875
,28.01.2003,0.247258333,0.209491667,0.179045833,0.1696,0.28845
,29.01.2003,0.246704167,0.210654167,0.179758333,0.169783333,0.288383333
,30.01.2003,0.2468875,0.210995833,0.1802375,0.1700625,0.288425
,31.01.2003,0.248704167,0.2116875,0.180616667,0.170308333,0.2885625
,01.02.2003,0.251520833,0.212933333,0.181133333,0.170554167,0.288666667
,02.02.2003,0.254570833,0.215041667,0.18195,0.170904167,0.288858333
,03.02.2003,0.251229167,0.215733333,0.1829,0.171404167,0.289108333
,04.02.2003,0.2461,0.21405,0.1831375,0.17185,0.2894125
,05.02.2003,0.2435,0.211875,0.182616667,0.172,0.289708333
,06.02.2003,0.24205,0.210466667,0.1818875,0.17185,0.289808333
,07.02.2003,0.2396375,0.209283333,0.181208333,0.171579167,0.289808333
,08.02.2003,0.237533333,0.207941667,0.180495833,0.171220833,0.289708333
,09.02.2003,0.237695833,0.206975,0.179795833,0.170808333,0.289508333
,10.02.2003,0.2362125,0.2063625,0.179220833,0.1703875,0.2892375
,11.02.2003,0.236270833,0.205608333,0.1786875,0.170016667,0.288941667
,12.02.2003,0.236654167,0.205358333,0.178241667,0.1696375,0.288620833
,13.02.2003,0.237716667,0.205320833,0.1779125,0.169283333,0.2882625
,14.02.2003,0.239670833,0.205575,0.1777,0.168975,0.287966667
,15.02.2003,0.24175,0.2064125,0.177720833,0.1688,0.2876625
,16.02.2003,0.242266667,0.206975,0.1779,0.168695833,0.287433333
,17.02.2003,0.2434625,0.207591667,0.1781125,0.168658333,0.287229167
,18.02.2003,0.2453,0.2086375,0.178433333,0.16875,0.287141667
,19.02.2003,0.246454167,0.209625,0.1789125,0.168854167,0.287058333
,20.02.2003,0.245558333,0.210058333,0.179366667,0.169075,0.287070833
,21.02.2003,0.246058333,0.210079167,0.179620833,0.169316667,0.28715
,22.02.2003,0.246533333,0.210541667,0.179833333,0.169416667,0.2872
,23.02.2003,0.2446125,0.2104875,0.180045833,0.169583333,0.287266667
,24.02.2003,0.240095833,0.209108333,0.179970833,0.169695833,0.287366667
,25.02.2003,0.236983333,0.207270833,0.179395833,0.169620833,0.28745
,26.02.2003,0.236379167,0.205858333,0.178641667,0.1693375,0.287354167
,27.02.2003,0.237695833,0.2054,0.178004167,0.168958333,0.287183333
,28.02.2003,0.238745833,0.2055375,0.177633333,0.168583333,0.286933333
,01.03.2003,0.238729167,0.2057,0.177466667,0.168341667,0.286670833
,02.03.2003,0.23915,0.2055875,0.177358333,0.168145833,0.2864625
,03.03.2003,0.241420833,0.2059375,0.1773,0.1679625,0.286245833
,04.03.2003,0.2427875,0.2069625,0.177408333,0.1679,0.286070833
,05.03.2003,0.24035,0.206720833,0.1776,0.1679,0.285895833
,06.03.2003,0.241691667,0.2065,0.1775,0.1679,0.285804167
,07.03.2003,0.244933333,0.207475,0.177595833,0.167879167,0.28575
,08.03.2003,0.248995833,0.2093375,0.178079167,0.167916667,0.285633333
,09.03.2003,0.251320833,0.211558333,0.178991667,0.168166667,0.2856625
,10.03.2003,0.2526875,0.212941667,0.1799625,0.1686,0.2858
,11.03.2003,0.2564625,0.214820833,0.1808875,0.169129167,0.286054167
,12.03.2003,0.260120833,0.217245833,0.182075,0.169729167,0.2864
,13.03.2003,0.263429167,0.219866667,0.183479167,0.1704625,0.286791667
,14.03.2003,0.266679167,0.222433333,0.185016667,0.171325,0.287354167
,15.03.2003,0.2708875,0.225079167,0.186604167,0.172258333,0.2879875
,16.03.2003,0.272341667,0.2277625,0.188370833,0.173291667,0.288708333
,17.03.2003,0.272208333,0.2291875,0.189920833,0.174404167,0.289558333
,18.03.2003,0.265620833,0.228570833,0.190958333,0.1753875,0.2903875
,19.03.2003,0.2590875,0.2251,0.190766667,0.176066667,0.291229167
,20.03.2003,0.2582,0.222404167,0.189704167,0.176195833,0.291866667
,21.03.2003,0.262441667,0.2222875,0.188879167,0.175979167,0.29225
,22.03.2003,0.265258333,0.223820833,0.188916667,0.175858333,0.2924125
,23.03.2003,0.266545833,0.224716667,0.189325,0.1759375,0.292558333
,24.03.2003,0.268891667,0.226270833,0.189858333,0.176158333,0.292729167
,25.03.2003,0.265370833,0.2258,0.190391667,0.176508333,0.293004167
,26.03.2003,0.267145833,0.225504167,0.1903625,0.1767625,0.2933
,27.03.2003,0.2673625,0.226208333,0.190575,0.176933333,0.293579167
,28.03.2003,0.262170833,0.224691667,0.190604167,0.177108333,0.2938125
,29.03.2003,0.259854167,0.222675,0.189945833,0.1771125,0.294054167
,30.03.2003,0.2594,0.221,0.189058333,0.1768625,0.294104167
,31.03.2003,0.263920833,0.221295833,0.188391667,-9999,0.2941
,01.04.2003,0.269633333,0.223591667,0.188566667,0.176225,0.293995833
,02.04.2003,0.273675,0.226166667,0.189445833,0.1763375,0.293920833
,03.04.2003,0.275904167,0.2284625,0.1906125,0.176729167,0.294058333
,04.04.2003,0.274825,0.2294375,0.191675,0.177329167,0.294316667
,05.04.2003,0.272545833,0.229195833,0.1922875,0.177891667,0.2946875
,06.04.2003,0.26945,0.2281375,0.1923625,0.178275,0.2950625
,07.04.2003,0.265125,0.225741667,0.1919125,0.178404167,0.2954
,08.04.2003,0.2657,0.22395,0.1909875,0.178279167,0.295595833
,09.04.2003,0.2705625,0.224420833,0.190391667,0.17795,0.295616667
,10.04.2003,0.277270833,0.2267,0.1906125,0.17775,0.2956
,11.04.2003,0.282175,0.229854167,0.1916125,0.177933333,0.295604167
,12.04.2003,0.2861625,0.232829167,0.193008333,0.17845,0.295783333
,13.04.2003,0.2894,0.235508333,0.194591667,0.1792125,0.296125
,14.04.2003,0.292441667,0.2378375,0.196145833,0.180104167,0.296679167
,15.04.2003,0.293679167,0.239741667,0.1976625,0.1810375,0.297329167
,16.04.2003,0.290270833,0.2399375,0.19885,0.182,0.298041667
,17.04.2003,0.289675,0.238966667,0.199275,0.182775,0.298791667
,18.04.2003,0.292366667,0.239241667,0.199491667,0.183266667,0.29945
,19.04.2003,0.29195,0.239695833,0.199883333,0.18365,0.300025
,20.04.2003,0.2903625,0.23905,0.2001,0.184079167,0.300525
,21.04.2003,0.292025,0.23875,0.2001,0.184320833,0.3009625
,22.04.2003,0.295758333,0.239645833,0.2002375,0.1845125,0.301320833
,23.04.2003,0.300641667,0.241008333,0.200808333,0.184816667,0.3016875
,24.04.2003,0.371779167,0.2387125,0.201279167,0.185279167,0.3022375
,25.04.2003,0.395304167,0.236233333,0.200441667,0.185354167,0.302745833
,26.04.2003,0.399958333,0.236116667,0.199695833,0.185070833,0.302983333
,27.04.2003,0.4018125,0.2376375,0.199616667,0.184904167,0.30305
,28.04.2003,0.403045833,0.239370833,0.200091667,0.184908333,0.3031375
,29.04.2003,0.404320833,0.241033333,0.2008125,0.185083333,0.303279167
,30.04.2003,0.403633333,0.242679167,0.201704167,0.1854875,0.303475
,01.05.2003,0.401245833,0.2427,0.202366667,0.185966667,0.303804167
,02.05.2003,0.401179167,0.242054167,0.202520833,0.186379167,0.304145833
,03.05.2003,0.405066667,0.2438625,0.202745833,0.186591667,0.3044625
,04.05.2003,0.406966667,0.247175,0.203783333,0.1869625,0.304770833
,05.05.2003,0.405008333,0.2489,0.205129167,0.187641667,0.305179167
,06.05.2003,0.403791667,0.249433333,0.206008333,0.188379167,0.305691667
,07.05.2003,0.403441667,0.250266667,0.206633333,0.1890125,0.306245833
