@T,climate ,,,,,,,,
name,srad,,,,,,,,
,,,,,,,,,
missing_val,-9999,,,,,,,,
date_start,21.11.2001 ,,,,,,,,
date_end,31.01.2020,,,,,,,,
date_format,dd.MM.yyyy ,,,,,,,,
,,,,,,,,,
tres,d ,,,,,,,,
unit,MJ/m2,,,,,,,,
,,,,,,,,,
@H,date,srad[0],srad[1],srad[2],srad[3],srad[4],srad[5],srad[6],srad[7]
name,-,EnergyTower1,EnergyTower2,METOS,Vaisala,COAGMETAult,COAGMETARDEC,COAGMETGreeley,MissDataFill
ID,-,1,2,3,4,5,6,7,8
elevation,-,1584.435,1584.867,1571,1571,1497,1558,1427,1427
x,-,513609.867,513537.822,512615,512615,523701,500000,530627,530627
y,-,4494845.169,4494881.429,4495505,4495505,4490951,4500182,4477623,4477623
,21.11.2001,-9999,-9999,8.947369296,-9999,8.27,7.09,-9999,-9999
,22.11.2001,-9999,-9999,4.935206448,-9999,6.393,5.99,-9999,-9999
,23.11.2001,-9999,-9999,3.4357734,-9999,3.269,3.307,-9999,-9999
,24.11.2001,-9999,-9999,12.53288088,-9999,10.38,10.22,-9999,-9999
,25.11.2001,-9999,-9999,2.736311472,-9999,2.632,2.765,-9999,-9999
,26.11.2001,-9999,-9999,5.134173624,-9999,5.496,5.251,-9999,-9999
,27.11.2001,-9999,-9999,9.164797344,-9999,8.86,8.88,-9999,-9999
,28.11.2001,-9999,-9999,12.62723645,-9999,9.51,9.62,-9999,-9999
,29.11.2001,-9999,-9999,7.724849328,-9999,6.77,7.96,-9999,-9999
,30.11.2001,-9999,-9999,9.854003232,-9999,8.49,7.65,-9999,-9999
,01.12.2001,-9999,-9999,11.49496963,-9999,9.39,8.78,-9999,-9999
,02.12.2001,-9999,-9999,11.88880157,-9999,9.86,9.3,-9999,-9999
,03.12.2001,-9999,-9999,9.759647664,-9999,7.38,8.42,-9999,-9999
,04.12.2001,-9999,-9999,7.556650272,-9999,6.431,6.985,-9999,-9999
,05.12.2001,-9999,-9999,11.80265083,-9999,9.16,9.47,-9999,-9999
,06.12.2001,-9999,-9999,11.3062585,-9999,8.69,9.44,-9999,-9999
,07.12.2001,-9999,-9999,10.59243811,-9999,8.44,7.6,-9999,-9999
,08.12.2001,-9999,-9999,11.32882178,-9999,8.79,9.19,-9999,-9999
,09.12.2001,-9999,-9999,7.67151792,-9999,7.93,6.264,-9999,-9999
,10.12.2001,-9999,-9999,8.643790512,-9999,6.331,7.12,-9999,-9999
,11.12.2001,-9999,-9999,11.13395702,-9999,8.29,8.66,-9999,-9999
,12.12.2001,-9999,-9999,5.257246104,-9999,5.469,5.578,-9999,-9999
,13.12.2001,-9999,-9999,9.11761956,-9999,6.971,7.04,-9999,-9999
,14.12.2001,-9999,-9999,7.002824112,-9999,6.196,6.386,-9999,-9999
,15.12.2001,-9999,-9999,5.944400784,-9999,5.164,5.548,-9999,-9999
,16.12.2001,-9999,-9999,11.21395414,-9999,7.75,9.07,-9999,-9999
,17.12.2001,-9999,-9999,10.70320334,-9999,7.99,8.77,-9999,-9999
,18.12.2001,-9999,-9999,9.339150024,-9999,7.56,7.32,-9999,-9999
,19.12.2001,-9999,-9999,10.90832414,-9999,7.4,8.9,-9999,-9999
,20.12.2001,-9999,-9999,9.843747192,-9999,7.35,8.19,-9999,-9999
,21.12.2001,-9999,-9999,9.575038944,-9999,6.629,7.34,-9999,-9999
,22.12.2001,-9999,-9999,9.597602232,-9999,7.7,7.48,-9999,-9999
,23.12.2001,-9999,-9999,11.18728843,-9999,8.04,9.02,-9999,-9999
,24.12.2001,-9999,-9999,10.55551637,-9999,7.44,8.41,-9999,-9999
,25.12.2001,-9999,-9999,8.526871656,-9999,5.935,7.61,-9999,-9999
,26.12.2001,-9999,-9999,11.10524011,-9999,8.11,8.98,-9999,-9999
,27.12.2001,-9999,-9999,10.91652898,-9999,8.31,8.85,-9999,-9999
,28.12.2001,-9999,-9999,3.495258432,-9999,2.581,5.526,-9999,-9999
,29.12.2001,-9999,-9999,6.972055992,-9999,6.098,6.233,-9999,-9999
,30.12.2001,-9999,-9999,3.665508696,-9999,5.399,2.96,-9999,-9999
,31.12.2001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.15553081
,01.01.2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.260286816
,02.01.2002,-9999,-9999,12.36878424,-9999,9.07,8.42,-9999,-9999
,03.01.2002,-9999,-9999,11.58112037,-9999,8.63,9.28,-9999,-9999
,04.01.2002,-9999,-9999,4.190617944,-9999,4.366,3.559,-9999,-9999
,05.01.2002,-9999,-9999,8.750453328,-9999,6.639,6.868,-9999,-9999
,06.01.2002,-9999,-9999,10.49398013,-9999,7.99,8.53,-9999,-9999
,07.01.2002,-9999,-9999,10.53500429,-9999,8.15,8.75,-9999,-9999
,08.01.2002,-9999,-9999,2.90245932,-9999,2.895,3.578,-9999,-9999
