@T,climate ,,,,,
name,tmin ,,,,,
descr,min temperature ,,,,,
,,,,,,
missing_val,-9999,,,,,
date_start,21.11.2001 ,,,,,
date_end,31.01.2020,,,,,
date_format,dd.MM.yyyy ,,,,,
,,,,,,
tres,d ,,,,,
unit,C ,,,,,
,,,,,,
@H,date,tmin[0],tmin[1],tmin[2],tmin[3],tmin[4]
name,-,EnergyTower1,EnergyTower2,METOS,Vaisala,COAGMETAult
ID,-,1,2,3,4,5
elevation,-,1584.435,1584.867,1571,1571,1497
x,-,513609.867,513537.822,512615,512615,523701
y,-,4494845.169,4494881.429,4495505,4495505,4490951
,21.11.2001,-9999,-9999,-3.34,-9999,-7.66
,22.11.2001,-9999,-9999,0.34,-9999,-2.059
,23.11.2001,-9999,-9999,-0.93,-9999,1.067
,24.11.2001,-9999,-9999,-4.13,-9999,-3.986
,25.11.2001,-9999,-9999,-6.12,-9999,-5.721
,26.11.2001,-9999,-9999,-11.29,-9999,-10.72
,27.11.2001,-9999,-9999,-14.17,-9999,-14.5
,28.11.2001,-9999,-9999,-18.06,-9999,-18.33
,29.11.2001,-9999,-9999,-12.97,-9999,-14.42
,30.11.2001,-9999,-9999,-5.33,-9999,-6.254
,01.12.2001,-9999,-9999,-7.08,-9999,-10.33
,02.12.2001,-9999,-9999,-1.65,-9999,-4.63
,03.12.2001,-9999,-9999,-2.69,-9999,-4.937
,04.12.2001,-9999,-9999,-2.69,-9999,-4.676
,05.12.2001,-9999,-9999,-2.21,-9999,-1.349
,06.12.2001,-9999,-9999,-0.21,-9999,-3.22
,07.12.2001,-9999,-9999,-6.12,-9999,-8.25
,08.12.2001,-9999,-9999,-9.01,-9999,-12.13
,09.12.2001,-9999,-9999,-3.65,-9999,-9.08
,10.12.2001,-9999,-9999,-7.56,-9999,-8.65
,11.12.2001,-9999,-9999,-9.55,-9999,-11.7
,12.12.2001,-9999,-9999,-10.27,-9999,-12.85
,13.12.2001,-9999,-9999,-12.49,-9999,-14.29
,14.12.2001,-9999,-9999,-7.32,-9999,-10.88
,15.12.2001,-9999,-9999,-6.6,-9999,-7.4
,16.12.2001,-9999,-9999,-10.51,-9999,-12.29
,17.12.2001,-9999,-9999,-6.6,-9999,-9.96
,18.12.2001,-9999,-9999,-7.8,-9999,-9.92
,19.12.2001,-9999,-9999,-9.55,-9999,-11.87
,20.12.2001,-9999,-9999,-6.12,-9999,-8.86
,21.12.2001,-9999,-9999,-8.04,-9999,-10.62
,22.12.2001,-9999,-9999,-8.11,-9999,-9.03
,23.12.2001,-9999,-9999,-10.27,-9999,-12.6
,24.12.2001,-9999,-9999,-10.51,-9999,-12.71
,25.12.2001,-9999,-9999,-4.2,-9999,-6.332
,26.12.2001,-9999,-9999,-6.36,-9999,-8.27
,27.12.2001,-9999,-9999,-8.04,-9999,-9.45
,28.12.2001,-9999,-9999,-9.55,-9999,-10.43
,29.12.2001,-9999,-9999,-10.51,-9999,-9.65
,30.12.2001,-9999,-9999,-8.59,-9999,-8.5
,31.12.2001,-9999,-9999,-12.01,-9999,-9999
,01.01.2002,-9999,-9999,-17.1,-9999,-9999
,02.01.2002,-9999,-9999,-18.78,-9999,-23.42
