@T,climate ,,,,,
name,wind ,,,,,
desc,wind speed ,,,,,
,,,,,,
missing_val,-9999,,,,,
date_start,21.11.2001 ,,,,,
date_end,31.01.2020,,,,,
date_format,dd.MM.yyyy ,,,,,
,,,,,,
tres,d ,,,,,
unit,m/s ,,,,,
,,,,,,
@H,date,wind[0],wind[1],wind[2],wind[3],wind[4]
name,-,EnergyTower1,EnergyTower2,METOS,Vaisala,COAGMETAult
ID,-,1,2,3,4,5
elevation,-,1584.435,1584.867,1571,1571,1497
x,-,513609.867,513537.822,512615,512615,523701
y,-,4494845.169,4494881.429,4495505,4495505,4490951
,21.11.2001,-9999,-9999,2.285799815,-9999,1.888777546
,22.11.2001,-9999,-9999,2.216668981,-9999,2.244804745
,23.11.2001,-9999,-9999,5.42302287,-9999,6.45595463
,24.11.2001,-9999,-9999,4.056317269,-9999,4.667795486
,25.11.2001,-9999,-9999,3.342513981,-9999,4.000871296
,26.11.2001,-9999,-9999,5.087244537,-9999,6.314546644
,27.11.2001,-9999,-9999,2.456432269,-9999,3.218614352
,28.11.2001,-9999,-9999,1.976357037,-9999,1.974023495
,29.11.2001,-9999,-9999,2.06249625,-9999,1.865410127
,30.11.2001,-9999,-9999,2.941994074,-9999,2.681063426
,01.12.2001,-9999,-9999,2.239712593,-9999,2.142509606
,02.12.2001,-9999,-9999,2.535987593,-9999,2.186636921
,03.12.2001,-9999,-9999,2.613896944,-9999,2.578768287
,04.12.2001,-9999,-9999,3.385857917,-9999,3.387100463
,05.12.2001,-9999,-9999,6.960360926,-9999,5.868259028
,06.12.2001,-9999,-9999,3.635497037,-9999,3.745133449
,07.12.2001,-9999,-9999,4.054122639,-9999,4.846310532
,08.12.2001,-9999,-9999,1.986781528,-9999,1.802328125
,09.12.2001,-9999,-9999,2.073469398,-9999,2.080330208
,10.12.2001,-9999,-9999,2.642975787,-9999,2.733213889
,11.12.2001,-9999,-9999,3.125245648,-9999,3.019038542
,12.12.2001,-9999,-9999,2.048779815,-9999,1.828503646
,13.12.2001,-9999,-9999,1.998303333,-9999,1.826497859
,14.12.2001,-9999,-9999,2.401566528,-9999,2.007118981
,15.12.2001,-9999,-9999,4.294983241,-9999,3.324921065
,16.12.2001,-9999,-9999,2.035612037,-9999,1.846555729
,17.12.2001,-9999,-9999,2.229836759,-9999,1.875739931
,18.12.2001,-9999,-9999,3.118113102,-9999,3.521488194
,19.12.2001,-9999,-9999,2.899198796,-9999,2.384206944
,20.12.2001,-9999,-9999,2.576039583,-9999,2.365151968
,21.12.2001,-9999,-9999,3.838500278,-9999,3.844419907
,22.12.2001,-9999,-9999,2.903039398,-9999,3.071189005
,23.12.2001,-9999,-9999,2.209536435,-9999,2.162567477
,24.12.2001,-9999,-9999,2.867925324,-9999,2.471458681
,25.12.2001,-9999,-9999,4.816756435,-9999,5.73487419
,26.12.2001,-9999,-9999,2.493192315,-9999,2.384206944
,27.12.2001,-9999,-9999,2.275923981,-9999,2.455412384
,28.12.2001,-9999,-9999,5.147596852,-9999,4.677824421
,29.12.2001,-9999,-9999,2.517881898,-9999,2.510571528
,30.12.2001,-9999,-9999,2.13875963,-9999,2.155547222
,31.12.2001,-9999,-9999,-9999,-9999,2.321462546
,01.01.2002,-9999,-9999,-9999,-9999,2.20843912
,02.01.2002,-9999,-9999,1.973065093,-9999,1.952962731
,03.01.2002,-9999,-9999,2.4032125,-9999,1.999095833
,04.01.2002,-9999,-9999,5.612309676,-9999,5.597477778
,05.01.2002,-9999,-9999,2.136016343,-9999,2.461429745
,06.01.2002,-9999,-9999,2.386752778,-9999,2.045228935
,07.01.2002,-9999,-9999,3.101104722,-9999,2.853561111
,08.01.2002,-9999,-9999,3.002346389,-9999,3.028064583
,09.01.2002,-9999,-9999,3.904339167,-9999,3.469337731
,10.01.2002,-9999,-9999,1.971967778,-9999,1.916858565
,11.01.2002,-9999,-9999,3.994318981,-9999,3.882529861
,12.01.2002,-9999,-9999,3.04020375,-9999,2.515585995
,13.01.2002,-9999,-9999,7.918865417,-9999,8.219041435
,14.01.2002,-9999,-9999,3.068185278,-9999,3.195547801
,15.01.2002,-9999,-9999,2.096513009,-9999,2.822471412
,16.01.2002,-9999,-9999,2.395531296,-9999,2.77633831
,17.01.2002,-9999,-9999,2.821289444,-9999,3.079212153
,18.01.2002,-9999,-9999,3.944391157,-9999,4.353889815
,19.01.2002,-9999,-9999,2.960099769,-9999,2.688083681
,20.01.2002,-9999,-9999,6.308007269,-9999,5.889319792
