species_code,group,introduced,perennial,woody,graminoid,rhizomatous,pp
gusa,gusa,no,yes,yes,no,no,c4
erna,erna,no,yes,yes,no,no,c4
hevi,hevi,no,yes,no,no,no,c3
hean,hean,no,no,no,no,no,c3
stpa,n_forbs,no,yes,no,no,no,c4
assp,n_forbs,no,no,no,no,no,c3
ansp,ansp,no,yes,no,no,yes,c4
arar,arar,no,yes,yes,no,no,c4
atca,atca,no,yes,yes,no,no,c4
chbe,n_forbs,no,no,no,no,no,c4
spco,spco,no,yes,no,no,no,c4
arhi,arhi,no,no,no,no,no,c3
bocu,bocu,no,yes,no,yes,no,c4
sphe,pavi,no,yes,no,yes,no,c4
upg4,scsc,no,yes,no,yes,no,c4
navi,navi,no,yes,no,yes,no,c4
elre,pasm,no,yes,no,yes,yes,c3
bogr,bogr,no,yes,no,yes,no,c4
elel,elel,no,yes,no,yes,no,c3
sotr,n_forbs,no,no,no,no,no,c3
upf_12,n_forbs,no,yes,no,no,no,c3
upfr,n_forbs,no,yes,no,no,yes,c3
pola,i_lactucae,yes,no,no,no,no,c3
taof,i_lactucae,yes,no,no,no,no,c3
trdu,i_lactucae,yes,no,no,no,no,c3
ciar,ciar,yes,yes,no,no,yes,c3
onac,onac,yes,no,no,no,no,c3
lase,lase,yes,no,no,no,no,c3
sial,ia_brass,yes,no,no,no,no,c3
deso,ia_brass,yes,no,no,no,no,c3
satr,satr,yes,no,no,no,no,c4
kosc,kosc,yes,no,no,no,no,c3
coar,coar,yes,yes,no,no,no,c3
mesa,mesa,yes,yes,no,no,no,c3
meof,meof,yes,no,no,no,no,c3
brte,ia_bromus,yes,no,no,yes,no,c3
sece,sece,yes,no,no,yes,no,c3
brin,brin,yes,yes,no,yes,yes,c3
brse,ia_bromus,yes,no,no,yes,no,c3
agcr,agcr,yes,yes,no,yes,no,c3
trte,trte,yes,no,no,no,no,c3
