days since 1900-1-1;spei
1901-01-16;NA
1901-02-15;NA
1901-03-16;NA
1901-04-16;NA
1901-05-16;NA
1901-06-16;NA
1901-07-16;NA
1901-08-16;NA
1901-09-16;NA
1901-10-16;NA
1901-11-16;NA
1901-12-16;-0.16478
1902-01-16;-0.069695
1902-02-15;-0.29708
1902-03-16;-0.20406
1902-04-16;-0.78234
1902-05-16;-0.86975
1902-06-16;-1.1095
1902-07-16;-0.79639
1902-08-16;-0.83887
1902-09-16;-0.35073
1902-10-16;-0.21916
1902-11-16;-0.030135
1902-12-16;-0.13939
1903-01-16;-0.14793
1903-02-15;0.26066
1903-03-16;0.10936
1903-04-16;0.26478
1903-05-16;0.083351
1903-06-16;0.3401
1903-07-16;0.33561
1903-08-16;0.46629
1903-09-16;0.010171
1903-10-16;0.017597
1903-11-16;-0.054798
1903-12-16;-0.30534
1904-01-16;-0.36739
1904-02-15;-0.8418
1904-03-16;-1.0796
1904-04-16;-1.1866
1904-05-16;-0.34155
1904-06-16;-0.39146
1904-07-16;-0.2098
1904-08-16;-0.38124
1904-09-16;-0.42685
1904-10-16;-0.39893
1904-11-16;-0.59403
1904-12-16;-0.58506
1905-01-16;-0.36739
1905-02-15;-0.050557
1905-03-16;0.27893
1905-04-16;1.2364
1905-05-16;1.2075
1905-06-16;1.093
1905-07-16;1.3099
1905-08-16;1.3671
1905-09-16;1.2509
1905-10-16;1.5271
1905-11-16;1.6381
1905-12-16;1.6435
1906-01-16;1.3943
1906-02-15;1.1185
1906-03-16;1.4356
1906-04-16;1.0042
1906-05-16;0.51465
1906-06-16;0.50093
1906-07-16;0.2102
1906-08-16;0.23155
1906-09-16;0.54887
1906-10-16;0.55398
1906-11-16;0.92803
1906-12-16;0.90294
1907-01-16;1.066
1907-02-15;1.0218
1907-03-16;0.30818
1907-04-16;0.064305
1907-05-16;0.36768
1907-06-16;0.16391
1907-07-16;0.34939
1907-08-16;0.31562
1907-09-16;0.0026925
1907-10-16;-0.55561
1907-11-16;-0.85168
1907-12-16;-0.69591
1908-01-16;-0.80609
1908-02-15;-0.74114
1908-03-16;-0.76596
1908-04-16;-1.2
1908-05-16;-0.933
1908-06-16;-0.64592
1908-07-16;-0.60449
1908-08-16;-0.13596
1908-09-16;-0.31331
1908-10-16;0.27991
1908-11-16;0.45539
1908-12-16;0.50835
1909-01-16;0.45467
1909-02-15;0.71719
1909-03-16;1.499
1909-04-16;1.8467
1909-05-16;1.4591
1909-06-16;1.5971
